campaign_id,gauge,total_yb,n_periods,voting_start,voting_end,hook
589,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,63234.07,2,2025-10-30,2025-11-13,0x0000000000000000000000000000000000000000
590,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,63234.07,2,2025-10-30,2025-11-13,0x0000000000000000000000000000000000000000
591,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,63253.04,2,2025-10-30,2025-11-13,0x0000000000000000000000000000000000000000
611,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,55392.80,2,2025-11-13,2025-11-27,0x0000000000000000000000000000000000000000
612,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,55392.80,2,2025-11-13,2025-11-27,0x0000000000000000000000000000000000000000
613,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,55409.42,2,2025-11-13,2025-11-27,0x0000000000000000000000000000000000000000
677,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,88277.27,2,2025-11-27,2025-12-11,0x0000000000000000000000000000000000000000
678,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,88277.27,2,2025-11-27,2025-12-11,0x0000000000000000000000000000000000000000
679,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,88303.76,2,2025-11-27,2025-12-11,0x0000000000000000000000000000000000000000
779,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,85185.19,2,2025-12-11,2025-12-25,0x0000000000000000000000000000000000000000
780,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,85185.19,2,2025-12-11,2025-12-25,0x0000000000000000000000000000000000000000
781,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,85210.75,2,2025-12-11,2025-12-25,0x0000000000000000000000000000000000000000
808,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,75538.51,2,2025-12-25,2026-01-08,0x0000000000000000000000000000000000000000
809,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,75538.51,2,2025-12-25,2026-01-08,0x0000000000000000000000000000000000000000
810,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,75561.18,2,2025-12-25,2026-01-08,0x0000000000000000000000000000000000000000
869,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,79394.68,2,2026-01-08,2026-01-22,0x0000000000000000000000000000000000000000
870,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,79394.68,2,2026-01-08,2026-01-22,0x0000000000000000000000000000000000000000
871,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,79418.50,2,2026-01-08,2026-01-22,0x0000000000000000000000000000000000000000
973,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,96092.03,2,2026-01-22,2026-02-05,0x0000000000000000000000000000000000000000
974,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,96092.03,2,2026-01-22,2026-02-05,0x0000000000000000000000000000000000000000
975,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,96120.86,2,2026-01-22,2026-02-05,0x0000000000000000000000000000000000000000
1011,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,88249.43,2,2026-02-05,2026-02-19,0x0000000000000000000000000000000000000000
1012,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,88249.43,2,2026-02-05,2026-02-19,0x0000000000000000000000000000000000000000
1013,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,88275.91,2,2026-02-05,2026-02-19,0x0000000000000000000000000000000000000000
1147,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,83733.14,2,2026-02-19,2026-03-05,0x0000000000000000000000000000000000000000
1148,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,83733.14,2,2026-02-19,2026-03-05,0x0000000000000000000000000000000000000000
1149,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,83758.27,2,2026-02-19,2026-03-05,0x0000000000000000000000000000000000000000
1181,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,66457.63,2,2026-03-05,2026-03-19,0x0000000000000000000000000000000000000000
1182,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,66457.63,2,2026-03-05,2026-03-19,0x0000000000000000000000000000000000000000
1183,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,66477.57,2,2026-03-05,2026-03-19,0x0000000000000000000000000000000000000000
1255,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,82602.62,2,2026-03-19,2026-04-02,0x0000000000000000000000000000000000000000
1256,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,82602.62,2,2026-03-19,2026-04-02,0x0000000000000000000000000000000000000000
1257,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,82627.41,2,2026-03-19,2026-04-02,0x0000000000000000000000000000000000000000
1371,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,81318.13,2,2026-04-02,2026-04-16,0x0000000000000000000000000000000000000000
1372,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,81318.13,2,2026-04-02,2026-04-16,0x0000000000000000000000000000000000000000
1373,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,81342.53,2,2026-04-02,2026-04-16,0x0000000000000000000000000000000000000000
1386,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,66092.64,2,2026-04-16,2026-04-30,0x0000000000000000000000000000000000000000
1387,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,66092.64,2,2026-04-16,2026-04-30,0x0000000000000000000000000000000000000000
1388,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,66112.47,2,2026-04-16,2026-04-30,0x0000000000000000000000000000000000000000
1435,0xf69fb60b79e463384b40dbfdfb633ab5a863c9a2,800000.00,2,2026-04-16,2026-04-30,0x68654d460fdf3231b49b25817cbbd72d8d291fcf
1445,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,79702.28,2,2026-04-30,2026-05-14,0x0000000000000000000000000000000000000000
1446,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,79702.28,2,2026-04-30,2026-05-14,0x0000000000000000000000000000000000000000
1447,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,79726.19,2,2026-04-30,2026-05-14,0x0000000000000000000000000000000000000000
1507,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,78279.11,2,2026-05-14,2026-05-28,0x0000000000000000000000000000000000000000
1508,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,78279.11,2,2026-05-14,2026-05-28,0x0000000000000000000000000000000000000000
1509,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,78302.60,2,2026-05-14,2026-05-28,0x0000000000000000000000000000000000000000
1570,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,80031.48,2,2026-05-28,2026-06-11,0x0000000000000000000000000000000000000000
1571,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,80031.48,2,2026-05-28,2026-06-11,0x0000000000000000000000000000000000000000
1572,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,80055.49,2,2026-05-28,2026-06-11,0x0000000000000000000000000000000000000000
1661,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,85218.11,2,2026-06-11,2026-06-25,0x0000000000000000000000000000000000000000
1662,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,85218.11,2,2026-06-11,2026-06-25,0x0000000000000000000000000000000000000000
1663,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,85243.67,2,2026-06-11,2026-06-25,0x0000000000000000000000000000000000000000
1690,0x22804b0f6be741a9fa1bbaecdd6c8d4116e96944,67478.03,2,2026-06-25,2026-07-09,0x0000000000000000000000000000000000000000
1691,0x4e6bb6b7447b7b2aa268c16ab87f4bb48bf57939,67478.03,2,2026-06-25,2026-07-09,0x0000000000000000000000000000000000000000
1692,0x95f00391cb5eebcd190eb58728b4ce23dbfa6ac1,67498.27,2,2026-06-25,2026-07-09,0x0000000000000000000000000000000000000000
